名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,247,-47.3,1532,,,,,
,,,,,,,,,,248,-42.7,1534,,,,,
,,,,,,,,,,249,-0.0,1542,,,,,
,,,,,,,,,,250,-32.3,1536,,,,,
,,,,,,,,,,251,-5.2,1542,,,,,
,,,,,,,,,,252,-0.0,1543,,,,,
,,,,,,,,,,253,-2.9,1542,,,,,
,,,,,,,,,,254,+15.1,1546,,,,,
,,,,,,,,,,255,-0.0,1543,,,,,
,,,,,,,,,,256,-45.1,1535,,,,,
,,,,,,,,,,257,+8.4,1544,,,,,
,,,,,,,,,,258,-0.0,1542,,,,,
,,,,,,,,,,259,-27.5,1536,,,,,
,,,,,,,,,,260,-7.0,1540,,,,,
,,,,,,,,,,261,-0.0,1540,,,,,
,,,,,,,,,,262,+6.1,1542,,,,,
,,,,,,,,,,263,-26.1,1536,,,,,
,,,,,,,,,,264,-0.0,1542,,,,,
,,,,,,,,,,265,+14.1,1544,,,,,
,,,,,,,,,,266,+16.5,1545,,,,,
,,,,,,,,,,267,-0.0,1542,,,,,
,,,,,,,,,,268,+4.5,1543,,,,,
,,,,,,,,,,269,-21.1,1539,,,,,
,,,,,,,,,,270,-0.0,1543,,,,,
,,,,,,,,,,271,-2.1,1543,,,,,
,,,,,,,,,,272,-28.1,1539,,,,,
,,,,,,,,,,273,-0.0,1544,,,,,
,,,,,,,,,,274,+0.8,1545,,,,,
,,,,,,,,,,275,-26.2,1540,,,,,
,,,,,,,,,,276,-0.0,1545,,,,,
,,,,,,,,,,277,-5.5,1545,,,,,
,,,,,,,,,,278,-22.3,1543,,,,,
,,,,,,,,,,279,-0.0,1547,,,,,
,,,,,,,,,,280,+47.4,1556,,,,,
,,,,,,,,,,281,+51.5,1557,,,,,
,,,,,,,,,,282,-0.0,1549,,,,,
,,,,,,,,,,283,+6.8,1550,,,,,
,,,,,,,,,,284,-24.5,1545,,,,,
,,,,,,,,,,285,-0.0,1549,,,,,
,,,,,,,,,,286,+6.8,1550,,,,,
,,,,,,,,,,287,+31.6,1554,,,,,
,,,,,,,,,,288,-0.0,1548,,,,,
,,,,,,,,,,289,-16.1,1545,,,,,
,,,,,,,,,,290,+26.9,1552,,,,,
,,,,,,,,,,291,-0.0,1547,,,,,
,,,,,,,,,,292,+6.6,1548,,,,,
,,,,,,,,,,293,+28.8,1551,,,,,
,,,,,,,,,,294,-0.0,1546,,,,,
,,,,,,,,,,295,+4.4,1546,,,,,
,,,,,,,,,,296,+20.3,1549,,,,,
,,,,,,,,,,297,-0.0,1545,,,,,
,,,,,,,,,,298,+18.3,1548,,,,,
,,,,,,,,,,299,+16.7,1548,,,,,
,,,,,,,,,,300,-0.0,1546,,,,,
,,,,,,,,,,301,+19.2,1550,,,,,
,,,,,,,,,,302,+27.8,1551,,,,,
,,,,,,,,,,303,-0.0,1546,,,,,
,,,,,,,,,,304,+12.4,1549,,,,,
,,,,,,,,,,305,+13.0,1549,,,,,
