名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,259,+11.1,1506,,,,,
,,,,,,,,,,260,-16.0,1501,,,,,
,,,,,,,,,,261,+0.0,1504,,,,,
,,,,,,,,,,262,+1.6,1504,,,,,
,,,,,,,,,,263,+24.2,1508,,,,,
,,,,,,,,,,264,+0.0,1504,,,,,
,,,,,,,,,,265,-21.4,1500,,,,,
,,,,,,,,,,266,-5.8,1503,,,,,
,,,,,,,,,,267,+0.0,1504,,,,,
,,,,,,,,,,268,+3.5,1504,,,,,
,,,,,,,,,,269,+4.1,1504,,,,,
,,,,,,,,,,270,+0.0,1504,,,,,
,,,,,,,,,,271,-43.4,1496,,,,,
,,,,,,,,,,272,-3.2,1503,,,,,
,,,,,,,,,,273,+0.0,1503,,,,,
,,,,,,,,,,274,-45.5,1495,,,,,
,,,,,,,,,,275,-28.0,1498,,,,,
,,,,,,,,,,276,+0.0,1503,,,,,
,,,,,,,,,,277,-0.6,1503,,,,,
,,,,,,,,,,278,-39.1,1496,,,,,
,,,,,,,,,,279,+0.0,1503,,,,,
,,,,,,,,,,280,+26.4,1508,,,,,
,,,,,,,,,,281,-2.0,1503,,,,,
,,,,,,,,,,282,+0.0,1503,,,,,
,,,,,,,,,,283,+9.7,1505,,,,,
,,,,,,,,,,284,-32.7,1497,,,,,
,,,,,,,,,,285,+0.0,1503,,,,,
,,,,,,,,,,286,+21.1,1506,,,,,
,,,,,,,,,,287,-14.6,1500,,,,,
,,,,,,,,,,288,+0.0,1503,,,,,
,,,,,,,,,,289,-48.7,1494,,,,,
,,,,,,,,,,290,-48.0,1494,,,,,
,,,,,,,,,,291,+0.0,1502,,,,,
,,,,,,,,,,292,-16.0,1499,,,,,
,,,,,,,,,,293,-3.8,1501,,,,,
,,,,,,,,,,294,+0.0,1502,,,,,
,,,,,,,,,,295,+43.1,1510,,,,,
,,,,,,,,,,296,+5.8,1503,,,,,
,,,,,,,,,,297,+0.0,1502,,,,,
,,,,,,,,,,298,-6.0,1501,,,,,
,,,,,,,,,,299,-57.9,1492,,,,,
,,,,,,,,,,300,+0.0,1502,,,,,
,,,,,,,,,,301,-37.5,1495,,,,,
,,,,,,,,,,302,-49.5,1493,,,,,
,,,,,,,,,,303,+0.0,1502,,,,,
,,,,,,,,,,304,-39.5,1495,,,,,
,,,,,,,,,,305,+9.5,1504,,,,,
,,,,,,,,,,306,+0.0,1502,,,,,
,,,,,,,,,,307,+11.1,1505,,,,,
,,,,,,,,,,308,-2.7,1502,,,,,
,,,,,,,,,,309,+0.0,1503,,,,,
,,,,,,,,,,310,-2.0,1502,,,,,
,,,,,,,,,,311,+39.0,1510,,,,,
,,,,,,,,,,312,+0.0,1503,,,,,
,,,,,,,,,,313,+43.5,1511,,,,,
,,,,,,,,,,314,+40.1,1510,,,,,
,,,,,,,,,,315,+0.0,1503,,,,,
,,,,,,,,,,316,-5.6,1502,,,,,
,,,,,,,,,,317,+66.0,1515,,,,,
,,,,,,,,,,318,+0.0,1503,,,,,
,,,,,,,,,,319,-7.4,1502,,,,,
,,,,,,,,,,320,+24.1,1507,,,,,
,,,,,,,,,,321,+0.0,1503,,,,,
,,,,,,,,,,322,-38.0,1496,,,,,
,,,,,,,,,,323,-2.6,1503,,,,,
,,,,,,,,,,324,+0.0,1503,,,,,
,,,,,,,,,,325,-18.8,1500,,,,,
,,,,,,,,,,326,-7.3,1502,,,,,
,,,,,,,,,,327,+0.0,1503,,,,,
,,,,,,,,,,328,+27.0,1508,,,,,
,,,,,,,,,,329,+36.1,1510,,,,,
,,,,,,,,,,330,+0.0,1503,,,,,
,,,,,,,,,,331,+44.6,1511,,,,,
,,,,,,,,,,332,+39.4,1510,,,,,
,,,,,,,,,,333,+0.0,1503,,,,,
,,,,,,,,,,334,+7.0,1504,,,,,
,,,,,,,,,,335,+40.0,1510,,,,,
,,,,,,,,,,336,+0.0,1503,,,,,
,,,,,,,,,,337,-11.3,1501,,,,,
,,,,,,,,,,338,-6.1,1501,,,,,
,,,,,,,,,,339,+0.0,1502,,,,,
,,,,,,,,,,340,-15.5,1500,,,,,
,,,,,,,,,,341,-51.0,1493,,,,,
,,,,,,,,,,342,+0.0,1502,,,,,
,,,,,,,,,,343,-19.3,1499,,,,,
,,,,,,,,,,344,-3.1,1502,,,,,
,,,,,,,,,,345,+0.0,1502,,,,,
,,,,,,,,,,346,+24.0,1507,,,,,
,,,,,,,,,,347,+18.1,1505,,,,,
,,,,,,,,,,348,+0.0,1502,,,,,
,,,,,,,,,,349,+28.3,1507,,,,,
,,,,,,,,,,350,+8.1,1503,,,,,
,,,,,,,,,,351,+0.0,1501,,,,,
,,,,,,,,,,352,-31.5,1496,,,,,
,,,,,,,,,,353,+18.5,1504,,,,,
,,,,,,,,,,354,+0.0,1501,,,,,
,,,,,,,,,,355,+19.5,1504,,,,,
,,,,,,,,,,356,+7.4,1502,,,,,
,,,,,,,,,,357,+0.0,1500,,,,,
,,,,,,,,,,358,-5.4,1499,,,,,
,,,,,,,,,,359,+10.4,1502,,,,,
,,,,,,,,,,360,+0.0,1500,,,,,
,,,,,,,,,,361,+56.0,1510,,,,,
,,,,,,,,,,362,+38.0,1507,,,,,
,,,,,,,,,,363,+0.0,1500,,,,,
,,,,,,,,,,364,+43.0,1508,,,,,
,,,,,,,,,,365,+2.0,1500,,,,,
,,,,,,,,,,366,+0.0,1500,,,,,
,,,,,,,,,,367,-14.0,1498,,,,,
,,,,,,,,,,368,-21.2,1496,,,,,
,,,,,,,,,,369,+0.0,1500,,,,,
,,,,,,,,,,370,-48.4,1492,,,,,
,,,,,,,,,,371,-15.0,1498,,,,,
,,,,,,,,,,372,+0.0,1500,,,,,
,,,,,,,,,,373,+44.9,1509,,,,,
,,,,,,,,,,374,+39.3,1508,,,,,
,,,,,,,,,,375,+0.0,1500,,,,,
,,,,,,,,,,376,+17.1,1504,,,,,
,,,,,,,,,,377,-9.9,1499,,,,,
,,,,,,,,,,378,+0.0,1501,,,,,
,,,,,,,,,,379,-38.0,1494,,,,,
,,,,,,,,,,380,-32.8,1496,,,,,
,,,,,,,,,,381,+0.0,1502,,,,,
,,,,,,,,,,382,+16.5,1505,,,,,
,,,,,,,,,,383,+8.8,1504,,,,,
,,,,,,,,,,384,+0.0,1502,,,,,
,,,,,,,,,,385,+8.7,1504,,,,,
,,,,,,,,,,386,+20.3,1505,,,,,
,,,,,,,,,,387,+0.0,1502,,,,,
,,,,,,,,,,388,+20.7,1505,,,,,
,,,,,,,,,,389,-22.8,1497,,,,,
,,,,,,,,,,390,+0.0,1501,,,,,
,,,,,,,,,,391,+15.3,1504,,,,,
,,,,,,,,,,392,+8.5,1502,,,,,
,,,,,,,,,,393,+0.0,1501,,,,,
,,,,,,,,,,394,+11.6,1503,,,,,
,,,,,,,,,,395,+31.2,1507,,,,,
,,,,,,,,,,396,+0.0,1501,,,,,
,,,,,,,,,,397,+8.2,1503,,,,,
,,,,,,,,,,398,-11.8,1499,,,,,
,,,,,,,,,,399,+0.0,1501,,,,,
,,,,,,,,,,400,+24.5,1505,,,,,
,,,,,,,,,,401,+19.6,1504,,,,,
,,,,,,,,,,402,+0.0,1501,,,,,
,,,,,,,,,,403,+16.9,1504,,,,,
,,,,,,,,,,404,+18.1,1504,,,,,
,,,,,,,,,,405,+0.0,1501,,,,,
,,,,,,,,,,406,-37.5,1494,,,,,
,,,,,,,,,,407,-12.0,1498,,,,,
,,,,,,,,,,408,+0.0,1500,,,,,
,,,,,,,,,,409,+38.5,1507,,,,,
,,,,,,,,,,410,+0.5,1500,,,,,
,,,,,,,,,,411,+0.0,1500,,,,,
,,,,,,,,,,412,-46.5,1492,,,,,
,,,,,,,,,,413,-42.0,1493,,,,,
,,,,,,,,,,414,+0.0,1500,,,,,
,,,,,,,,,,415,+13.2,1503,,,,,
,,,,,,,,,,416,+5.8,1501,,,,,
,,,,,,,,,,417,+0.0,1500,,,,,
,,,,,,,,,,418,-19.5,1497,,,,,
,,,,,,,,,,419,-1.7,1500,,,,,
,,,,,,,,,,420,+0.0,1501,,,,,
,,,,,,,,,,421,+41.4,1508,,,,,
,,,,,,,,,,422,+15.0,1504,,,,,
,,,,,,,,,,423,+0.0,1501,,,,,
,,,,,,,,,,424,+27.1,1506,,,,,
,,,,,,,,,,425,-23.5,1497,,,,,
,,,,,,,,,,426,+0.0,1501,,,,,
,,,,,,,,,,427,+8.5,1502,,,,,
,,,,,,,,,,428,+34.2,1507,,,,,
,,,,,,,,,,429,+0.0,1501,,,,,
,,,,,,,,,,430,+4.8,1501,,,,,
,,,,,,,,,,431,-12.0,1498,,,,,
,,,,,,,,,,432,+0.0,1500,,,,,
,,,,,,,,,,433,+43.3,1508,,,,,
,,,,,,,,,,434,+35.5,1507,,,,,
,,,,,,,,,,435,+0.0,1500,,,,,
,,,,,,,,,,436,+26.0,1505,,,,,
,,,,,,,,,,437,+20.7,1504,,,,,
,,,,,,,,,,438,+0.0,1501,,,,,
,,,,,,,,,,439,+11.0,1503,,,,,
,,,,,,,,,,440,-21.8,1497,,,,,
,,,,,,,,,,441,+0.0,1501,,,,,
,,,,,,,,,,442,+41.0,1508,,,,,
,,,,,,,,,,443,-4.5,1500,,,,,
,,,,,,,,,,444,+0.0,1501,,,,,
,,,,,,,,,,445,+25.0,1505,,,,,
,,,,,,,,,,446,-10.5,1499,,,,,
,,,,,,,,,,447,+0.0,1500,,,,,
,,,,,,,,,,448,-19.8,1497,,,,,
,,,,,,,,,,449,-29.8,1495,,,,,
,,,,,,,,,,450,+0.0,1500,,,,,
,,,,,,,,,,451,+37.6,1507,,,,,
,,,,,,,,,,452,+36.5,1507,,,,,
,,,,,,,,,,453,+0.0,1500,,,,,
,,,,,,,,,,454,+7.8,1501,,,,,
,,,,,,,,,,455,-29.4,1495,,,,,
,,,,,,,,,,456,+0.0,1500,,,,,
,,,,,,,,,,457,+68.1,1512,,,,,
,,,,,,,,,,458,+26.8,1505,,,,,
,,,,,,,,,,459,+0.0,1500,,,,,
,,,,,,,,,,460,-2.0,1499,,,,,
,,,,,,,,,,461,-18.4,1496,,,,,
,,,,,,,,,,462,+0.0,1499,,,,,
,,,,,,,,,,463,+5.2,1500,,,,,
,,,,,,,,,,464,-26.5,1495,,,,,
,,,,,,,,,,465,+0.0,1500,,,,,
,,,,,,,,,,466,+16.2,1503,,,,,
,,,,,,,,,,467,+11.3,1502,,,,,
,,,,,,,,,,468,+0.0,1500,,,,,
,,,,,,,,,,469,+24.2,1504,,,,,
,,,,,,,,,,470,+9.3,1502,,,,,
,,,,,,,,,,471,+0.0,1500,,,,,
,,,,,,,,,,472,+20.6,1504,,,,,
,,,,,,,,,,473,-25.1,1496,,,,,
,,,,,,,,,,474,+0.0,1500,,,,,
,,,,,,,,,,475,+7.3,1502,,,,,
,,,,,,,,,,476,+33.5,1507,,,,,
,,,,,,,,,,477,+0.0,1501,,,,,
,,,,,,,,,,478,+4.8,1502,,,,,
,,,,,,,,,,479,+37.5,1508,,,,,
,,,,,,,,,,480,+0.0,1501,,,,,
,,,,,,,,,,481,+4.1,1502,,,,,
,,,,,,,,,,482,+9.4,1503,,,,,
,,,,,,,,,,483,+0.0,1501,,,,,
,,,,,,,,,,484,-12.0,1499,,,,,
,,,,,,,,,,485,-0.5,1501,,,,,
,,,,,,,,,,486,+0.0,1502,,,,,
,,,,,,,,,,487,+12.5,1504,,,,,
