名前,まっつん,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,361,-621.2,1503,,,,,
,,,,,,,,,,362,-637.8,1501,,,,,
,,,,,,,,,,363,-661.5,1498,,,,,
,,,,,,,,,,364,-690.2,1493,,,,,
,,,,,,,,,,365,-650.1,1500,,,,,
,,,,,,,,,,366,-576.4,1513,,,,,
,,,,,,,,,,367,-557.0,1516,,,,,
,,,,,,,,,,368,-550.5,1518,,,,,
,,,,,,,,,,369,-585.1,1511,,,,,
,,,,,,,,,,370,-571.3,1514,,,,,
,,,,,,,,,,371,-597.0,1510,,,,,
,,,,,,,,,,372,-573.8,1515,,,,,
,,,,,,,,,,373,-539.9,1522,,,,,
,,,,,,,,,,374,-555.9,1519,,,,,
,,,,,,,,,,375,-505.1,1529,,,,,
,,,,,,,,,,376,-498.9,1531,,,,,
,,,,,,,,,,377,-465.2,1536,,,,,
,,,,,,,,,,378,-490.6,1531,,,,,
,,,,,,,,,,379,-545.3,1522,,,,,
,,,,,,,,,,380,-525.1,1527,,,,,
,,,,,,,,,,381,-552.6,1522,,,,,
,,,,,,,,,,382,-583.4,1517,,,,,
,,,,,,,,,,383,-547.2,1523,,,,,
,,,,,,,,,,384,-571.1,1520,,,,,
,,,,,,,,,,385,-592.0,1517,,,,,
,,,,,,,,,,386,-509.6,1532,,,,,
,,,,,,,,,,387,-535.3,1529,,,,,
,,,,,,,,,,388,-577.7,1521,,,,,
,,,,,,,,,,389,-526.7,1530,,,,,
,,,,,,,,,,390,-562.5,1524,,,,,
,,,,,,,,,,391,-581.6,1521,,,,,
,,,,,,,,,,392,-551.3,1527,,,,,
,,,,,,,,,,393,-551.6,1527,,,,,
,,,,,,,,,,394,-549.9,1527,,,,,
,,,,,,,,,,395,-529.2,1532,,,,,
,,,,,,,,,,396,-532.2,1531,,,,,
,,,,,,,,,,397,-572.2,1524,,,,,
,,,,,,,,,,398,-605.8,1519,,,,,
,,,,,,,,,,399,-609.1,1519,,,,,
,,,,,,,,,,400,-612.6,1519,,,,,
