名前,ただ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,461,-983.7,1505,,,,,
,,,,,,,,,,462,-1027.7,1498,,,,,
,,,,,,,,,,463,-1046.6,1494,,,,,
,,,,,,,,,,464,-1024.3,1498,,,,,
,,,,,,,,,,465,-977.0,1507,,,,,
,,,,,,,,,,466,-1011.5,1502,,,,,
,,,,,,,,,,467,-1050.2,1496,,,,,
,,,,,,,,,,468,-1025.0,1500,,,,,
,,,,,,,,,,469,-1004.9,1505,,,,,
,,,,,,,,,,470,-980.7,1509,,,,,
,,,,,,,,,,471,-981.3,1509,,,,,
,,,,,,,,,,472,-1005.1,1505,,,,,
,,,,,,,,,,473,-1029.5,1501,,,,,
,,,,,,,,,,474,-1062.6,1496,,,,,
,,,,,,,,,,475,-1073.5,1495,,,,,
,,,,,,,,,,476,-1043.2,1501,,,,,
,,,,,,,,,,477,-1070.7,1496,,,,,
,,,,,,,,,,478,-1008.1,1507,,,,,
,,,,,,,,,,479,-1013.1,1507,,,,,
,,,,,,,,,,480,-1049.1,1501,,,,,
