名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
,,,,,,,,,,452,+36.5,,,,,
,,,,,,,,,,453,+0.0,,,,,
,,,,,,,,,,454,+7.8,,,,,
,,,,,,,,,,455,-29.4,,,,,
,,,,,,,,,,456,+0.0,,,,,
,,,,,,,,,,457,+68.1,,,,,
,,,,,,,,,,458,+26.8,,,,,
,,,,,,,,,,459,+0.0,,,,,
,,,,,,,,,,460,-2.0,,,,,
,,,,,,,,,,461,-18.4,,,,,
,,,,,,,,,,462,+0.0,,,,,
,,,,,,,,,,463,+5.2,,,,,
,,,,,,,,,,464,-26.5,,,,,
,,,,,,,,,,465,+0.0,,,,,
,,,,,,,,,,466,+16.2,,,,,
,,,,,,,,,,467,+11.3,,,,,
,,,,,,,,,,468,+0.0,,,,,
,,,,,,,,,,469,+24.2,,,,,
,,,,,,,,,,470,+9.3,,,,,
,,,,,,,,,,471,+0.0,,,,,
,,,,,,,,,,472,+20.6,,,,,
,,,,,,,,,,473,-25.1,,,,,
,,,,,,,,,,474,+0.0,,,,,
,,,,,,,,,,475,+7.3,,,,,
,,,,,,,,,,476,+33.5,,,,,
,,,,,,,,,,477,+0.0,,,,,
,,,,,,,,,,478,+4.8,,,,,
,,,,,,,,,,479,+37.5,,,,,
,,,,,,,,,,480,+0.0,,,,,
,,,,,,,,,,481,+4.1,,,,,
,,,,,,,,,,482,+9.4,,,,,
,,,,,,,,,,483,+0.0,,,,,
,,,,,,,,,,484,-12.0,,,,,
,,,,,,,,,,485,-0.5,,,,,
,,,,,,,,,,486,+0.0,,,,,
,,,,,,,,,,487,+12.5,,,,,
,,,,,,,,,,488,+0.4,,,,,
,,,,,,,,,,489,+0.0,,,,,
,,,,,,,,,,490,-12.9,,,,,
,,,,,,,,,,491,-18.1,,,,,
,,,,,,,,,,492,+0.0,,,,,
,,,,,,,,,,493,+15.6,,,,,
,,,,,,,,,,494,-22.8,,,,,
,,,,,,,,,,495,+0.0,,,,,
,,,,,,,,,,496,+15.6,,,,,
,,,,,,,,,,497,+2.8,,,,,
,,,,,,,,,,498,+0.0,,,,,
,,,,,,,,,,499,-36.0,,,,,
,,,,,,,,,,500,+0.0,,,,,
,,,,,,,,,,501,+0.0,,,,,
,,,,,,,,,,502,-29.6,,,,,
,,,,,,,,,,503,-78.7,,,,,
,,,,,,,,,,504,+0.0,,,,,
,,,,,,,,,,505,+6.8,,,,,
,,,,,,,,,,506,+4.2,,,,,
,,,,,,,,,,507,+0.0,,,,,
,,,,,,,,,,508,-14.0,,,,,
,,,,,,,,,,509,-26.5,,,,,
,,,,,,,,,,510,+0.0,,,,,
,,,,,,,,,,511,-10.0,,,,,
,,,,,,,,,,512,+50.5,,,,,
,,,,,,,,,,513,+0.0,,,,,
,,,,,,,,,,514,+44.6,,,,,
,,,,,,,,,,515,+15.1,,,,,
,,,,,,,,,,516,+0.0,,,,,
,,,,,,,,,,517,-4.7,,,,,
,,,,,,,,,,518,+13.9,,,,,
,,,,,,,,,,519,+0.0,,,,,
,,,,,,,,,,520,+12.5,,,,,
,,,,,,,,,,521,-1.7,,,,,
,,,,,,,,,,522,+0.0,,,,,
,,,,,,,,,,523,+14.4,,,,,
,,,,,,,,,,524,+26.7,,,,,
