名前,だいち,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,448,+4280.1,1859,,,,,
,,,,,,,,,,449,+4282.9,1858,,,,,
,,,,,,,,,,450,+4279.8,1856,,,,,
,,,,,,,,,,451,+4245.3,1848,,,,,
,,,,,,,,,,452,+4296.4,1856,,,,,
,,,,,,,,,,453,+4332.9,1861,,,,,
,,,,,,,,,,454,+4375.4,1867,,,,,
,,,,,,,,,,455,+4409.9,1871,,,,,
,,,,,,,,,,456,+4393.3,1866,,,,,
,,,,,,,,,,457,+4356.9,1858,,,,,
,,,,,,,,,,458,+4418.5,1868,,,,,
,,,,,,,,,,459,+4411.3,1865,,,,,
,,,,,,,,,,460,+4458.6,1871,,,,,
,,,,,,,,,,461,+4519.6,1880,,,,,
,,,,,,,,,,462,+4564.5,1887,,,,,
,,,,,,,,,,463,+4616.5,1894,,,,,
,,,,,,,,,,464,+4551.5,1880,,,,,
,,,,,,,,,,465,+4504.7,1870,,,,,
,,,,,,,,,,466,+4551.7,1877,,,,,
,,,,,,,,,,467,+4504.7,1867,,,,,
,,,,,,,,,,468,+4478.4,1860,,,,,
,,,,,,,,,,469,+4535.9,1869,,,,,
,,,,,,,,,,470,+4560.7,1872,,,,,
