名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,295,-23.6,1595,,,,,
,,,,,,,,,,296,+9.0,1600,,,,,
,,,,,,,,,,297,+0.0,1598,,,,,
,,,,,,,,,,298,-52.9,1588,,,,,
,,,,,,,,,,299,+2.7,1599,,,,,
,,,,,,,,,,300,+0.0,1598,,,,,
,,,,,,,,,,301,+51.5,1608,,,,,
,,,,,,,,,,302,-0.5,1598,,,,,
,,,,,,,,,,303,+0.0,1599,,,,,
,,,,,,,,,,304,-57.6,1588,,,,,
,,,,,,,,,,305,-61.7,1587,,,,,
,,,,,,,,,,306,+0.0,1598,,,,,
,,,,,,,,,,307,-28.1,1593,,,,,
,,,,,,,,,,308,-5.3,1596,,,,,
,,,,,,,,,,309,+0.0,1597,,,,,
,,,,,,,,,,310,-54.4,1587,,,,,
,,,,,,,,,,311,-7.3,1596,,,,,
,,,,,,,,,,312,+0.0,1598,,,,,
,,,,,,,,,,313,+0.3,1598,,,,,
,,,,,,,,,,314,-12.2,1597,,,,,
,,,,,,,,,,315,+0.0,1599,,,,,
,,,,,,,,,,316,+57.5,1610,,,,,
,,,,,,,,,,317,+50.0,1608,,,,,
,,,,,,,,,,318,+0.0,1600,,,,,
,,,,,,,,,,319,+39.9,1607,,,,,
,,,,,,,,,,320,+11.1,1602,,,,,
,,,,,,,,,,321,+0.0,1600,,,,,
,,,,,,,,,,322,+39.2,1608,,,,,
,,,,,,,,,,323,+33.8,1607,,,,,
,,,,,,,,,,324,+0.0,1601,,,,,
,,,,,,,,,,325,+19.6,1605,,,,,
,,,,,,,,,,326,+2.4,1602,,,,,
,,,,,,,,,,327,+0.0,1602,,,,,
,,,,,,,,,,328,+3.2,1602,,,,,
,,,,,,,,,,329,+18.7,1605,,,,,
,,,,,,,,,,330,+0.0,1602,,,,,
,,,,,,,,,,331,-6.2,1601,,,,,
,,,,,,,,,,332,-46.2,1594,,,,,
,,,,,,,,,,333,+0.0,1603,,,,,
,,,,,,,,,,334,+46.6,1611,,,,,
,,,,,,,,,,335,+50.3,1612,,,,,
,,,,,,,,,,336,+0.0,1603,,,,,
,,,,,,,,,,337,-22.1,1598,,,,,
,,,,,,,,,,338,-21.5,1598,,,,,
,,,,,,,,,,339,+0.0,1601,,,,,
,,,,,,,,,,340,+32.2,1606,,,,,
,,,,,,,,,,341,+27.1,1605,,,,,
,,,,,,,,,,342,+0.0,1599,,,,,
,,,,,,,,,,343,-24.5,1595,,,,,
,,,,,,,,,,344,-27.5,1595,,,,,
,,,,,,,,,,345,+0.0,1600,,,,,
,,,,,,,,,,346,+27.9,1605,,,,,
,,,,,,,,,,347,+32.3,1606,,,,,
,,,,,,,,,,348,+0.0,1600,,,,,
,,,,,,,,,,349,+37.3,1607,,,,,
,,,,,,,,,,350,+45.5,1609,,,,,
,,,,,,,,,,351,+0.0,1601,,,,,
,,,,,,,,,,352,+2.0,1602,,,,,
,,,,,,,,,,353,-19.5,1598,,,,,
,,,,,,,,,,354,+0.0,1602,,,,,
,,,,,,,,,,355,-26.4,1598,,,,,
,,,,,,,,,,356,-34.3,1597,,,,,
,,,,,,,,,,357,+0.0,1603,,,,,
,,,,,,,,,,358,+6.8,1604,,,,,
,,,,,,,,,,359,-38.9,1596,,,,,
,,,,,,,,,,360,+0.0,1602,,,,,
,,,,,,,,,,361,+16.0,1606,,,,,
,,,,,,,,,,362,+48.0,1612,,,,,
,,,,,,,,,,363,+0.0,1603,,,,,
,,,,,,,,,,364,-34.9,1597,,,,,
